Date,BTCUSD,ETHUSD,XRPUSD,LTCUSD
2020-02-01 10-PM,"9367,9","182,67","0,2411","70,44"
2020-02-01 09-PM,"9354,46","182,22","0,2412","70,78"
2020-02-01 08-PM,"9370,8","183,31","0,2404","71,05"
2020-02-01 07-PM,"9348,36","182,57","0,2404","70,9"
2020-02-01 06-PM,"9377,2","183,1","0,2405","70,97"
2020-02-01 05-PM,"9366,11","182,89","0,2395",71
2020-02-01 04-PM,"9378,87","183,02","0,24","70,89"
2020-02-01 03-PM,"9319,08","181,85","0,2382","69,39"
2020-02-01 02-PM,"9325,33","181,68","0,2385","69,93"
2020-02-01 01-PM,"9331,85","181,62","0,2394","70,71"
2020-02-01 12-PM,"9303,69","179,87","0,2374","69,5"
2020-02-01 11-AM,"9332,78","180,66","0,2378","69,33"
2020-02-01 10-AM,"9373,41","181,14","0,2401","71,12"
2020-02-01 09-AM,"9385,91","181,33","0,2393","71,12"
2020-02-01 08-AM,"9382,86","180,82","0,2393",71
2020-02-01 07-AM,"9415,6","182,82","0,2412","72,1"
2020-02-01 06-AM,"9391,03","181,62","0,2409","71,63"
2020-02-01 05-AM,"9369,21","181,21","0,2399","71,06"
2020-02-01 04-AM,"9390,04","181,88","0,2405","71,63"
2020-02-01 03-AM,"9409,69","183,11","0,241","72,53"
2020-02-01 02-AM,"9424,9","183,28","0,242","71,29"
2020-02-01 01-AM,"9420,4","182,91","0,2421","71,79"
2020-02-01 12-AM,"9366,64","180,89","0,2407","68,4"
2020-01-31 11-PM,"9327,85","179,84","0,2389","67,83"
2020-01-31 10-PM,"9386,57","181,43","0,2388","68,43"
2020-01-31 09-PM,"9349,3","180,73","0,2384","68,04"
2020-01-31 08-PM,"9305,65","180,18","0,2373","67,33"
2020-01-31 07-PM,"9282,37","179,33","0,2373","66,76"
2020-01-31 06-PM,"9289,11","178,92","0,2391","67,4"
2020-01-31 05-PM,"9260,01","178,1","0,2364","66,82"
2020-01-31 04-PM,"9263,47","178,04","0,2362","67,23"
2020-01-31 03-PM,"9309,8","179,61","0,2377","67,7"
2020-01-31 02-PM,"9248,06","177,7","0,2354","66,73"
2020-01-31 01-PM,9255,"177,74","0,2359","66,76"
2020-01-31 12-PM,"9264,68","177,57","0,2361","66,75"
2020-01-31 11-AM,"9321,21","180,33","0,2371","67,89"
2020-01-31 10-AM,"9320,82","181,13","0,2379","68,05"
2020-01-31 09-AM,"9340,32","181,62","0,2391","68,59"
2020-01-31 08-AM,"9356,97","182,65","0,2399","68,1"
2020-01-31 07-AM,"9351,03","181,78","0,2397","66,88"
