Date,BTCUSD,ETHUSD,XRPUSD,LTCUSD
2019-09-23 02-PM,"9907,61","208,91","0,2764","72,53"
2019-09-23 01-PM,"9888,76",209,"0,2726","72,77"
2019-09-23 12-PM,"9908,52","208,88","0,273","72,77"
2019-09-23 11-AM,"9905,04","209,19","0,2743","73,37"
2019-09-23 10-AM,"9910,69","209,14","0,2733","73,08"
2019-09-23 09-AM,"9944,41","210,14","0,275","73,28"
2019-09-23 08-AM,"9922,92","209,13","0,2728","73,83"
2019-09-23 07-AM,"9895,03","208,44","0,2714","73,39"
2019-09-23 06-AM,9910,"208,49","0,2711","73,42"
2019-09-23 05-AM,"9940,64","208,55","0,2714","72,16"
2019-09-23 04-AM,"9983,26","209,37","0,2744","72,61"
2019-09-23 03-AM,"9978,04","207,88","0,2744","71,97"
2019-09-23 02-AM,"9958,45","208,83","0,2741","71,75"
2019-09-23 01-AM,"9991,72","208,7","0,2745","71,63"
2019-09-23 12-AM,"9986,4","209,31","0,2749","71,99"
2019-09-22 11-PM,"10020,58","211,17","0,2764","72,48"
2019-09-22 10-PM,"10036,69","210,77","0,2775","72,4"
2019-09-22 09-PM,"10057,84","210,02","0,2765","72,4"
2019-09-22 08-PM,"10014,99","208,32","0,2733","71,92"
2019-09-22 07-PM,"9980,26","206,45","0,2727","71,81"
2019-09-22 06-PM,"9968,83","207,39","0,274","71,74"
2019-09-22 05-PM,"9987,44","207,86","0,2731","71,69"
2019-09-22 04-PM,"10005,28","207,82","0,2731","71,99"
2019-09-22 03-PM,"9991,39","210,21","0,278","72,13"
2019-09-22 02-PM,"9991,77","210,67","0,278","72,42"
2019-09-22 01-PM,"9977,69","211,14","0,2782","72,2"
2019-09-22 12-PM,"10025,15","211,97","0,2788","72,79"
2019-09-22 11-AM,"9995,42","210,61","0,2788","71,89"
2019-09-22 10-AM,"10005,96","209,65","0,2772","72,21"
2019-09-22 09-AM,"10007,19","212,11","0,2782","72,27"
2019-09-22 08-AM,"10009,84","211,45","0,2787","72,21"
2019-09-22 07-AM,"10024,19","212,36","0,2801","72,41"
2019-09-22 06-AM,"9919,88","210,63","0,2782","72,13"
2019-09-22 05-AM,"9930,79","210,21","0,2785","72,18"
2019-09-22 04-AM,"9890,45","209,19","0,2777","71,64"
2019-09-22 03-AM,9870,"208,8","0,278","71,56"
2019-09-22 02-AM,"9915,07","211,37","0,2814","71,88"
2019-09-22 01-AM,"9893,41","211,11","0,2809","71,6"
2019-09-22 12-AM,"9941,07","213,4","0,2858","72,68"
2019-09-21 11-PM,"9985,28","214,77","0,2892","73,24"
2019-09-21 10-PM,"9978,98","215,87","0,2878",73
2019-09-21 09-PM,"9975,24","215,15","0,2886","73,19"
2019-09-21 08-PM,"9962,51","215,72","0,2893","72,77"
2019-09-21 07-PM,"10012,12","217,61","0,289","73,04"
2019-09-21 06-PM,9998,"216,48","0,2905","73,02"
2019-09-21 05-PM,"9962,17","215,62","0,2895","72,63"
2019-09-21 04-PM,"9994,83","215,81","0,2905","73,31"
2019-09-21 03-PM,"10032,42","217,84","0,2918","73,92"
2019-09-21 02-PM,"9990,57","216,43","0,2896","73,35"
2019-09-21 01-PM,"10009,97","216,42","0,2903","73,44"
2019-09-21 12-PM,"9968,47","215,72","0,2891","73,18"
2019-09-21 11-AM,"10048,64","216,11","0,291","73,66"
2019-09-21 10-AM,"9983,97","214,94","0,2897","73,33"
2019-09-21 09-AM,"9996,2","215,19","0,2885","73,47"
2019-09-21 08-AM,"10020,59","216,13","0,2906","74,11"
2019-09-21 07-AM,10072,"217,14","0,2924","74,65"
2019-09-21 06-AM,"10058,49","217,43","0,2925","74,73"
2019-09-21 05-AM,"10095,95","218,6","0,2931","74,93"
2019-09-21 04-AM,"10082,96","217,24","0,2914","74,29"
2019-09-21 03-AM,"10129,01","218,55","0,2932","74,52"
2019-09-21 02-AM,"10119,03","218,45","0,2929","74,75"
2019-09-21 01-AM,"10154,66","219,28","0,295","75,12"
2019-09-21 12-AM,"10153,6","218,67","0,2939","74,77"
2019-09-20 11-PM,"10169,02","218,11","0,2936","75,02"
2019-09-20 10-PM,"10140,11","214,19","0,2899","74,35"
2019-09-20 09-PM,10130,"215,87","0,2898","74,32"
2019-09-20 08-PM,"10139,17","216,49","0,2889","74,26"
2019-09-20 07-PM,"10144,57","216,28","0,29","74,28"
2019-09-20 06-PM,"10151,64","216,39","0,2914","74,3"
2019-09-20 05-PM,"10108,72","216,36","0,2892","74,08"
2019-09-20 04-PM,"10082,43","214,78","0,2867","73,92"
2019-09-20 03-PM,"10167,71","217,32","0,2891","75,34"
2019-09-20 02-PM,"10175,31","216,29","0,2905","75,23"
2019-09-20 01-PM,"10166,31","217,96","0,2904",76
2019-09-20 12-PM,"10214,39","219,52","0,2939","76,05"
2019-09-20 11-AM,"10158,85","218,52","0,2926","75,64"
2019-09-20 10-AM,"10153,2","217,02","0,2918","75,41"
2019-09-20 09-AM,10137,"217,15","0,2923","75,29"
2019-09-20 08-AM,"10142,81","216,98","0,2941","75,48"
2019-09-20 07-AM,"10151,37","217,32","0,2965","75,41"
2019-09-20 06-AM,"10167,38","217,57","0,2964","75,43"
2019-09-20 05-AM,"10161,06","217,17","0,2917","74,68"
2019-09-20 04-AM,"10206,46","218,3","0,2941","75,08"
2019-09-20 03-AM,"10224,8","219,58","0,2949","75,32"
2019-09-20 02-AM,"10205,32","218,31","0,2938","75,5"
2019-09-20 01-AM,"10223,87","216,67","0,2933","75,8"
2019-09-20 12-AM,"10242,83","218,68","0,2914","75,47"
2019-09-19 11-PM,"10271,53","220,78","0,3012","76,92"
2019-09-19 10-PM,"10239,16","220,14","0,3007","76,38"
2019-09-19 09-PM,10270,"220,46","0,2994","76,46"
2019-09-19 08-PM,"10258,42","219,77","0,2982","76,2"
2019-09-19 07-PM,"10108,66","221,88","0,3058","77,07"
2019-09-19 06-PM,"10039,39","220,27","0,3019","76,94"
2019-09-19 05-PM,10036,"219,83","0,3035","76,64"
2019-09-19 04-PM,"10041,77","220,33","0,3019","75,91"
2019-09-19 03-PM,"9879,65","211,5","0,2943","74,43"
2019-09-19 02-PM,"9855,5","208,29","0,2922","74,13"
2019-09-19 01-PM,"9867,7","209,11","0,291","74,5"
2019-09-19 12-PM,"9874,17","208,33","0,2909","74,46"
2019-09-19 11-AM,"9845,79","206,98","0,2865","74,04"
2019-09-19 10-AM,"9847,83","207,49","0,2917","74,24"
2019-09-19 09-AM,"9870,14","208,01","0,2926","74,62"
2019-09-19 08-AM,"9875,08","207,64","0,2975","74,3"
2019-09-19 07-AM,"9877,93","205,75","0,2932","73,87"
2019-09-19 06-AM,9870,"205,48","0,2916",74
2019-09-19 05-AM,"9885,44","206,5","0,2912","73,98"
2019-09-19 04-AM,"9799,18","204,05","0,2898",73
2019-09-19 03-AM,"9812,97","204,6","0,2915","73,24"
2019-09-19 02-AM,"10086,5","206,51","0,3005","75,55"
2019-09-19 01-AM,"10122,96","206,07","0,2995","75,5"
2019-09-19 12-AM,10174,"208,51","0,3018","76,89"
2019-09-18 11-PM,"10152,09","210,25","0,3135","77,6"
2019-09-18 10-PM,"10159,8","211,87","0,3177","78,74"
2019-09-18 09-PM,"10192,25","211,72","0,3141","78,5"
2019-09-18 08-PM,"10189,97","211,27","0,3117","78,22"
2019-09-18 07-PM,"10170,66","211,35","0,3129","78,59"
2019-09-18 06-PM,"10176,64","212,18","0,3156","78,59"
2019-09-18 05-PM,"10187,75","213,52","0,3149","79,31"
2019-09-18 04-PM,"10196,01",214,"0,3167","79,82"
2019-09-18 03-PM,"10174,92","214,06","0,3169","77,62"
2019-09-18 02-PM,"10176,45","213,49","0,3196","77,32"
2019-09-18 01-PM,"10188,61","214,14","0,3195","76,34"
2019-09-18 12-PM,"10200,13","212,58","0,3139","75,35"
2019-09-18 11-AM,"10155,96","211,91","0,3051","75,45"
2019-09-18 10-AM,"10184,48","213,67","0,3064","76,02"
2019-09-18 09-AM,"10175,01","213,2","0,303","75,49"
2019-09-18 08-AM,10166,"213,66","0,3032","75,5"
2019-09-18 07-AM,"10208,76","216,21","0,3081","76,42"
2019-09-18 06-AM,10197,"213,74","0,3065","75,66"
2019-09-18 05-AM,"10201,31","212,2","0,3026","76,12"
2019-09-18 04-AM,"10220,89","213,37","0,3062","76,11"
2019-09-18 03-AM,"10208,81","211,42","0,3044","75,02"
2019-09-18 02-AM,"10224,56","212,23","0,31","75,5"
2019-09-18 01-AM,"10258,71","212,2","0,3094","74,96"
2019-09-18 12-AM,"10208,65","212,49","0,3029","74,92"
2019-09-17 11-PM,"10195,73","207,83","0,2856","74,16"
2019-09-17 10-PM,"10227,02","211,66","0,2897","75,47"
2019-09-17 09-PM,"10212,54","212,05","0,2911","75,62"
2019-09-17 08-PM,10248,"213,02","0,2921","76,66"
2019-09-17 07-PM,"10249,79","210,35","0,2912","75,34"
2019-09-17 06-PM,"10223,88","208,77","0,2871","74,96"
2019-09-17 05-PM,"10240,68","210,12","0,2944","75,48"
2019-09-17 04-PM,"10248,5","209,55","0,2931","75,22"
2019-09-17 03-PM,"10204,16","201,9","0,287","73,55"
2019-09-17 02-PM,"10213,98","202,28","0,2795","73,75"
2019-09-17 01-PM,"10176,87","201,05","0,2733","73,43"
2019-09-17 12-PM,"10208,42","200,2","0,2744","73,75"
2019-09-17 11-AM,"10159,5","198,17","0,2666","72,5"
2019-09-17 10-AM,"10168,54","198,14","0,2663","72,69"
2019-09-17 09-AM,"10153,97","197,8","0,2647","72,58"
2019-09-17 08-AM,10168,"198,14","0,2655","72,91"
2019-09-17 07-AM,"10212,73","198,48","0,2668","72,93"
2019-09-17 06-AM,"10207,03","197,74","0,2612","72,97"
2019-09-17 05-AM,"10206,3","198,38","0,2614","72,79"
2019-09-17 04-AM,"10203,08","196,65","0,2611","72,39"
2019-09-17 03-AM,"10255,88","197,48","0,2607","72,43"
2019-09-17 02-AM,10235,"197,2","0,2601","72,57"
2019-09-17 01-AM,"10234,57","198,03","0,2609","72,64"
2019-09-17 12-AM,"10224,09","198,59","0,261","72,43"
2019-09-16 11-PM,"10269,98","197,82","0,2611","72,76"
2019-09-16 10-PM,"10294,66","197,79","0,2617","72,63"
2019-09-16 09-PM,"10296,11","197,94","0,2623","72,94"
2019-09-16 08-PM,"10215,91","199,44","0,2614","71,48"
2019-09-16 07-PM,"10118,17","191,55","0,2586","70,63"
2019-09-16 06-PM,"10120,66","191,71","0,2586","70,58"
2019-09-16 05-PM,"10148,67","191,53","0,2583","70,75"
2019-09-16 04-PM,"10145,15","190,94","0,2585","70,45"
2019-09-16 03-PM,10105,"189,77","0,2577","70,02"
2019-09-16 02-PM,"10129,06","189,86","0,2576","70,09"
2019-09-16 01-PM,"10148,11","189,12","0,2582","69,82"
2019-09-16 12-PM,10140,"189,98","0,2578","69,87"
2019-09-16 11-AM,"10272,24","193,28","0,2607","70,88"
2019-09-16 10-AM,"10303,19",194,"0,2609","70,84"
2019-09-16 09-AM,"10303,75","193,71","0,2602","70,86"
2019-09-16 08-AM,"10309,17","193,79","0,2613","71,16"
2019-09-16 07-AM,"10306,26","194,2","0,2625","71,17"
2019-09-16 06-AM,"10306,05","193,7","0,2622","71,5"
2019-09-16 05-AM,10325,"194,12","0,2627","71,71"
2019-09-16 04-AM,"10319,43","194,67","0,2625","71,5"
2019-09-16 03-AM,"10308,73","194,2","0,2616","71,47"
2019-09-16 02-AM,"10352,29","194,89","0,2626","71,77"
2019-09-16 01-AM,"10363,53","194,09","0,2628","71,74"
2019-09-16 12-AM,"10345,63",193,"0,2633","71,43"
2019-09-15 11-PM,"10305,74","189,54","0,2604","70,05"
2019-09-15 10-PM,"10297,35","188,64","0,2596","70,19"
2019-09-15 09-PM,"10299,99","189,34","0,2602","70,11"
2019-09-15 08-PM,"10275,37","189,16","0,2595","70,26"
2019-09-15 07-PM,"10303,68","189,78","0,2599","70,17"
2019-09-15 06-PM,"10300,53","188,66","0,2595","70,03"
2019-09-15 05-PM,"10316,26","188,95","0,2594","69,84"
2019-09-15 04-PM,"10304,07","188,76","0,2594","69,7"
2019-09-15 03-PM,"10311,92","189,36","0,2609","70,37"
2019-09-15 02-PM,"10279,79","188,02","0,2609","70,19"
2019-09-15 01-PM,"10283,9","187,83","0,2616","70,26"
2019-09-15 12-PM,"10320,72","188,95","0,264","70,51"
2019-09-15 11-AM,"10311,25","188,69","0,2631","70,47"
2019-09-15 10-AM,"10314,74","190,2","0,2639","70,61"
2019-09-15 09-AM,"10301,49","187,76","0,2626","70,16"
2019-09-15 08-AM,"10306,26","187,8","0,2619","70,38"
2019-09-15 07-AM,"10321,47","187,64","0,2632","70,76"
2019-09-15 06-AM,"10328,33","188,13","0,2635","70,67"
2019-09-15 05-AM,"10328,85","187,95","0,2627","70,64"
2019-09-15 04-AM,"10332,23","187,66","0,263","70,02"
2019-09-15 03-AM,"10319,9","186,85","0,2624","70,13"
2019-09-15 02-AM,"10340,38","188,13","0,2624","70,81"
2019-09-15 01-AM,"10354,75","188,98","0,2623","71,06"
2019-09-15 12-AM,"10337,31","188,96","0,263","71,06"
2019-09-14 11-PM,"10355,37","188,73","0,2622","70,64"
2019-09-14 10-PM,"10357,1","187,81","0,2631","70,76"
2019-09-14 09-PM,"10397,42","188,1","0,2632","70,89"
2019-09-14 08-PM,10424,"188,39","0,2647","71,18"
2019-09-14 07-PM,"10378,46","187,26","0,2644","70,86"
2019-09-14 06-PM,"10400,15","187,78","0,2636","70,88"
2019-09-14 05-PM,"10391,86","188,18","0,2629","70,98"
2019-09-14 04-PM,"10374,67","185,9","0,2644","70,73"
2019-09-14 03-PM,"10373,85","185,41","0,2635","70,3"
2019-09-14 02-PM,"10372,6","185,62","0,2636","70,34"
2019-09-14 01-PM,"10328,37","183,48","0,2629","69,73"
2019-09-14 12-PM,"10274,56","180,17","0,2589","68,33"
2019-09-14 11-AM,"10301,3","180,83","0,2563","68,64"
2019-09-14 10-AM,"10313,68","181,01","0,2549","68,61"
2019-09-14 09-AM,"10308,1","180,99","0,255","68,57"
2019-09-14 08-AM,"10316,46",181,"0,2556","68,69"
2019-09-14 07-AM,"10323,03","180,83","0,2546","68,78"
2019-09-14 06-AM,"10301,86","180,65","0,2546","68,86"
2019-09-14 05-AM,"10298,63","180,83","0,2547","68,86"
2019-09-14 04-AM,"10291,89","180,5","0,2546","68,54"
2019-09-14 03-AM,"10296,06","180,31","0,255","68,82"
2019-09-14 02-AM,"10303,49","180,89","0,255","68,65"
2019-09-14 01-AM,"10319,32","180,92","0,2548","68,97"
2019-09-14 12-AM,"10326,74","180,73","0,2552","68,95"
2019-09-13 11-PM,"10368,65","181,3","0,2559","68,83"
2019-09-13 10-PM,"10293,28","181,03","0,2552",68
2019-09-13 09-PM,"10304,84","181,36","0,2545","68,42"
2019-09-13 08-PM,"10266,77","180,86","0,2544",68
2019-09-13 07-PM,"10219,19","178,51","0,2538","67,8"
2019-09-13 06-PM,"10221,35","178,26","0,2552","67,64"
2019-09-13 05-PM,"10233,16","178,88","0,2549","67,77"
2019-09-13 04-PM,10310,"178,92","0,2567","68,56"
2019-09-13 03-PM,"10304,24","178,99","0,2549","68,62"
2019-09-13 02-PM,"10295,63","178,9","0,2533","68,55"
2019-09-13 01-PM,"10329,02","179,41","0,2542","68,8"
2019-09-13 12-PM,10345,"179,59","0,2541","69,19"
2019-09-13 11-AM,"10321,4","179,58","0,254","68,99"
2019-09-13 10-AM,10285,"178,95","0,253","68,9"
2019-09-13 09-AM,"10327,59","179,39","0,2528","68,78"
2019-09-13 08-AM,"10299,85","179,47","0,2531","69,11"
2019-09-13 07-AM,10312,"179,1","0,2543","68,68"
2019-09-13 06-AM,"10321,35","179,37","0,254","69,18"
2019-09-13 05-AM,"10317,52","179,51","0,2544","69,26"
2019-09-13 04-AM,"10359,42","179,29","0,2552","69,53"
2019-09-13 03-AM,"10386,41","180,68","0,2552","69,3"
2019-09-13 02-AM,"10374,77","180,63","0,2543","69,48"
2019-09-13 01-AM,"10350,01","180,4","0,254","69,06"
2019-09-13 12-AM,"10392,38","180,59","0,2544","69,05"
2019-09-12 11-PM,"10420,34","180,72","0,2539","69,21"
2019-09-12 10-PM,"10400,48","181,35","0,255","69,02"
2019-09-12 09-PM,10409,"181,52","0,2547","69,39"
2019-09-12 08-PM,"10330,9","180,05","0,2527","68,85"
2019-09-12 07-PM,10314,"179,37","0,2522","68,78"
2019-09-12 06-PM,"10295,44","179,52","0,2528","69,06"
2019-09-12 05-PM,"10296,83","179,26","0,2525","69,08"
2019-09-12 04-PM,"10276,78",179,"0,2524","69,03"
2019-09-12 03-PM,"10330,03","179,67","0,2543","69,38"
2019-09-12 02-PM,10306,"179,84","0,2565","69,72"
2019-09-12 01-PM,"10346,07","180,31","0,2561","69,87"
2019-09-12 12-PM,"10233,56","178,7","0,2538","69,2"
2019-09-12 11-AM,"10161,78","178,3","0,2532","69,12"
2019-09-12 10-AM,10145,"178,68","0,2539","69,39"
2019-09-12 09-AM,"10119,94","177,76","0,2524","68,61"
2019-09-12 08-AM,"10146,04","177,8","0,252","68,76"
2019-09-12 07-AM,"10076,39","177,31","0,2509","68,6"
2019-09-12 06-AM,"10054,12","176,63","0,251","68,62"
2019-09-12 05-AM,"10078,02","177,63","0,252","69,18"
2019-09-12 04-AM,"10072,93","177,78","0,252","69,2"
2019-09-12 03-AM,"10111,98","177,78","0,2528","69,34"
2019-09-12 02-AM,"10109,8","177,45","0,2543","68,99"
2019-09-12 01-AM,"10122,92","178,05","0,2545","69,1"
2019-09-12 12-AM,"10155,1","177,98","0,2547","69,41"
2019-09-11 11-PM,"10154,46","178,33","0,255","69,79"
2019-09-11 10-PM,"10142,41","178,44","0,2546","69,61"
2019-09-11 09-PM,"10166,04","178,24","0,2536","69,49"
2019-09-11 08-PM,"10103,5","177,01","0,252","68,79"
2019-09-11 07-PM,10068,"176,26","0,2522","68,84"
2019-09-11 06-PM,"10060,95","176,58","0,2525","68,9"
2019-09-11 05-PM,"10041,84","177,02","0,2527","68,57"
2019-09-11 04-PM,"10038,35","177,24","0,253","68,94"
2019-09-11 03-PM,"9976,65","175,82","0,2524","68,95"
2019-09-11 02-PM,"10014,33",177,"0,2529","69,86"
2019-09-11 01-PM,"10028,19","177,28","0,2543","70,38"
2019-09-11 12-PM,"10088,95","178,27","0,254","70,76"
2019-09-11 11-AM,"10049,2","178,87","0,254","70,88"
2019-09-11 10-AM,"10085,13","179,35","0,2545","71,04"
2019-09-11 09-AM,"9988,06","177,77","0,2536","70,07"
2019-09-11 08-AM,"9988,33","177,73","0,2538","70,35"
2019-09-11 07-AM,"10051,01","178,28","0,2556","70,67"
2019-09-11 06-AM,"9978,22","178,37","0,2557","70,48"
2019-09-11 05-AM,"10008,21","178,82","0,2557","70,52"
2019-09-11 04-AM,"10036,4","179,34","0,257","70,55"
2019-09-11 03-AM,"10077,74","179,83","0,2577","70,64"
2019-09-11 02-AM,"10062,12","179,87","0,2574","70,35"
2019-09-11 01-AM,10080,"180,24","0,2569","70,74"
2019-09-11 12-AM,"10136,25","181,35","0,2585","71,1"
2019-09-10 11-PM,10096,"179,76","0,2583","70,84"
2019-09-10 10-PM,"10078,76","179,6","0,2574","70,37"
2019-09-10 09-PM,"10089,31","179,5","0,2578","70,47"
2019-09-10 08-PM,"10042,14","178,11","0,2555","70,97"
2019-09-10 07-PM,"10005,58","177,8","0,2558","70,68"
2019-09-10 06-PM,"10182,59","179,2","0,2585","71,13"
2019-09-10 05-PM,"10206,14","180,07","0,2584","71,69"
2019-09-10 04-PM,"10211,85","180,61","0,259","71,65"
2019-09-10 03-PM,"10177,82","179,31","0,259","70,25"
2019-09-10 02-PM,"10201,32","179,85","0,26","70,26"
2019-09-10 01-PM,"10235,29","180,28","0,261","70,76"
2019-09-10 12-PM,"10252,78","181,2","0,2623","71,06"
2019-09-10 11-AM,"10248,44","181,45","0,261","70,79"
2019-09-10 10-AM,"10233,3","180,93","0,2604","70,68"
2019-09-10 09-AM,"10259,74","181,26","0,2598","70,98"
2019-09-10 08-AM,"10264,1",182,"0,2607","70,93"
2019-09-10 07-AM,"10266,66","182,59","0,2616","71,69"
2019-09-10 06-AM,"10262,21","181,89","0,2609","71,9"
2019-09-10 05-AM,"10268,11","182,46","0,2608","71,9"
2019-09-10 04-AM,"10293,61","182,69","0,2618","71,67"
2019-09-10 03-AM,"10294,41","182,59","0,2611","71,64"
2019-09-10 02-AM,"10282,43","182,82","0,2613","71,71"
2019-09-10 01-AM,10331,"183,29","0,2603","71,9"
2019-09-10 12-AM,10340,"181,8","0,2594","70,72"
2019-09-09 11-PM,"10307,45","180,57","0,2586","70,11"
2019-09-09 10-PM,"10338,54","182,31","0,2586","70,33"
2019-09-09 09-PM,"10289,11","180,44","0,2586","69,07"
2019-09-09 08-PM,"10233,18","179,55","0,2578","69,53"
2019-09-09 07-PM,"10309,59","180,78","0,2589","69,52"
2019-09-09 06-PM,"10245,98","179,99","0,2587","69,16"
2019-09-09 05-PM,"10264,21","181,09","0,2587","69,87"
2019-09-09 04-PM,"10264,49","180,22","0,2587","69,26"
2019-09-09 03-PM,"10332,26","181,4","0,2606","69,54"
2019-09-09 02-PM,"10343,28","182,25","0,2616","69,63"
2019-09-09 01-PM,"10333,24","182,33","0,2611","70,23"
2019-09-09 12-PM,"10374,39","182,47","0,2605","70,25"
2019-09-09 11-AM,"10425,3","183,1","0,2621","70,51"
2019-09-09 10-AM,"10255,24","181,73","0,2618","70,57"
2019-09-09 09-AM,"10239,77","180,52","0,262","69,92"
2019-09-09 08-AM,"10149,46","178,39","0,2583","68,82"
2019-09-09 07-AM,"10146,97","177,33","0,2571","68,75"
2019-09-09 06-AM,"10257,25","177,47","0,258","68,42"
2019-09-09 05-AM,"10301,8","178,45","0,2583","68,96"
2019-09-09 04-AM,"10322,41","178,9","0,2593","69,09"
2019-09-09 03-AM,"10309,03","178,28","0,2595","69,11"
2019-09-09 02-AM,"10324,12","178,67","0,2598","69,17"
2019-09-09 01-AM,"10389,45","180,97","0,2612","70,24"
2019-09-09 12-AM,"10395,35","180,57","0,2622","70,28"
2019-09-08 11-PM,"10400,18","181,48","0,2624","70,55"
2019-09-08 10-PM,"10390,97","181,46","0,2627","70,62"
2019-09-08 09-PM,"10420,7","181,47","0,2607","70,24"
2019-09-08 08-PM,"10366,5","180,02","0,2591","69,53"
2019-09-08 07-PM,"10350,02","180,24","0,2601","69,42"
2019-09-08 06-PM,"10339,3","179,83","0,262","69,82"
2019-09-08 05-PM,"10379,93","180,02","0,2624","69,71"
2019-09-08 04-PM,"10424,12","182,02","0,2629","70,39"
2019-09-08 03-PM,"10405,04","181,8","0,264","70,89"
2019-09-08 02-PM,"10418,59",182,"0,2635","70,92"
2019-09-08 01-PM,"10377,81","179,59","0,2582","69,12"
2019-09-08 12-PM,"10397,1","179,52","0,2593","69,2"
2019-09-08 11-AM,"10409,16","180,12","0,2596","69,37"
2019-09-08 10-AM,"10510,59","182,23","0,2631","70,63"
2019-09-08 09-AM,"10509,42","181,62","0,2615","70,32"
2019-09-08 08-AM,"10527,69","181,62","0,2615","70,42"
2019-09-08 07-AM,"10546,64","181,56","0,263","70,61"
2019-09-08 06-AM,"10573,54","182,58","0,2632","71,01"
2019-09-08 05-AM,"10556,71","182,39","0,2636","70,97"
2019-09-08 04-AM,"10563,78","182,67","0,2649","70,73"
2019-09-08 03-AM,"10554,1","183,36","0,2642","71,1"
2019-09-08 02-AM,"10487,28",179,"0,2605","69,17"
2019-09-08 01-AM,"10501,52","178,84","0,2606","69,01"
2019-09-08 12-AM,"10512,79","179,23","0,2611","69,54"
2019-09-07 11-PM,"10484,39","178,3","0,2602","68,81"
2019-09-07 10-PM,"10511,67","178,68","0,2611","68,89"
2019-09-07 09-PM,"10542,7","180,6","0,2617","69,56"
2019-09-07 08-PM,"10528,73","179,3","0,2606","69,63"
2019-09-07 07-PM,"10492,98","178,56","0,2613","69,42"
2019-09-07 06-PM,"10475,51","179,98","0,2618","69,24"
2019-09-07 05-PM,"10509,48","179,08","0,2608","69,86"
2019-09-07 04-PM,"10516,12","178,31","0,2599","69,97"
2019-09-07 03-PM,10470,"174,51","0,26","69,23"
2019-09-07 02-PM,"10420,73","173,2","0,2586","68,67"
2019-09-07 01-PM,"10401,07","172,1","0,2564","66,7"
2019-09-07 12-PM,"10384,17","171,4","0,2527","66,75"
2019-09-07 11-AM,"10435,88","172,25","0,2528","67,17"
2019-09-07 10-AM,"10366,72","169,95","0,251","65,19"
2019-09-07 09-AM,10390,"170,19","0,2512","65,16"
2019-09-07 08-AM,"10401,39","170,5","0,2509","65,34"
2019-09-07 07-AM,"10378,89","170,47","0,2512","65,18"
2019-09-07 06-AM,"10341,22","169,79","0,2509","64,96"
2019-09-07 05-AM,"10363,67","169,75","0,2514","65,02"
2019-09-07 04-AM,"10352,01","169,38","0,2518","64,97"
2019-09-07 03-AM,"10333,56","169,43","0,2511","64,74"
2019-09-07 02-AM,"10345,8","169,4","0,2517","64,93"
2019-09-07 01-AM,"10357,97","169,16","0,2514","65,17"
2019-09-07 12-AM,"10338,34","168,78","0,251","65,13"
2019-09-06 11-PM,"10311,09","169,09","0,2517","65,02"
2019-09-06 10-PM,"10347,77",169,"0,2512","65,25"
2019-09-06 09-PM,"10417,69","169,76","0,251","65,44"
2019-09-06 08-PM,"10351,46","168,82","0,2515","65,02"
2019-09-06 07-PM,"10373,87","170,59","0,2521","65,42"
2019-09-06 06-PM,"10376,62","171,2","0,2523","65,3"
2019-09-06 05-PM,"10423,09","171,69","0,2534","65,7"
2019-09-06 04-PM,"10887,77","176,48","0,2577","67,41"
2019-09-06 03-PM,"10890,45","176,86","0,2588",67
2019-09-06 02-PM,"10857,91","176,47","0,2589",67
2019-09-06 01-PM,"10840,5","176,91","0,2579","67,39"
2019-09-06 12-PM,"10861,58","176,57","0,2576","67,3"
2019-09-06 11-AM,10875,"176,79","0,2586","67,6"
2019-09-06 10-AM,"10761,74","176,83","0,2574","67,43"
2019-09-06 09-AM,"10756,13","175,37","0,257","67,36"
2019-09-06 08-AM,"10738,25","175,32","0,2566","66,9"
2019-09-06 07-AM,"10744,07","175,38","0,2562","66,98"
2019-09-06 06-AM,"10731,14","175,75","0,2574","66,69"
2019-09-06 05-AM,"10725,9","175,53","0,2572","66,99"
2019-09-06 04-AM,"10710,1","175,9","0,2578","66,88"
2019-09-06 03-AM,"10657,94",175,"0,2564","66,17"
2019-09-06 02-AM,"10658,87","174,61","0,2556","66,45"
2019-09-06 01-AM,"10598,13","174,21","0,2557","65,57"
2019-09-06 12-AM,"10571,29","173,32","0,2556","65,31"
2019-09-05 11-PM,"10573,66","174,62","0,2565","65,37"
2019-09-05 10-PM,"10575,93","174,72","0,2565","65,59"
2019-09-05 09-PM,"10555,04","172,9","0,2549","65,23"
2019-09-05 08-PM,"10525,6","172,29","0,2544","64,7"
2019-09-05 07-PM,"10538,68","171,49","0,255","64,51"
2019-09-05 06-PM,"10553,77","172,3","0,2556","64,81"
2019-09-05 05-PM,"10502,92","171,48","0,2548","64,55"
2019-09-05 04-PM,"10532,01","171,28","0,2551","64,98"
2019-09-05 03-PM,"10559,51",172,"0,256","65,19"
2019-09-05 02-PM,"10559,57","171,73","0,2553","65,04"
2019-09-05 01-PM,"10601,17","172,4","0,2556","65,59"
2019-09-05 12-PM,"10570,85","171,75","0,2562","65,51"
2019-09-05 11-AM,"10577,82","171,85","0,2558","65,36"
2019-09-05 10-AM,"10628,39","172,53","0,2576","65,76"
2019-09-05 09-AM,10575,"172,72","0,2566","66,86"
2019-09-05 08-AM,"10582,44","174,54","0,2575","67,26"
2019-09-05 07-AM,"10552,15","174,61","0,2578","66,9"
2019-09-05 06-AM,"10541,83","174,57","0,2574","67,01"
